Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Patrick Fields;Oklahoma;Sr.;S;13;47.0;33.0;80.0;;;;;;;;;;;
DeAndre Square;Kentucky;Sr.;LB;13;40.0;40.0;80.0;;;;;;;;;;;
Jake Hummel;Iowa St.;Sr.;LB;13;39.0;41.0;80.0;;;;;;;;;;;
Rashaad Harding;Liberty;Sr.;LB;13;33.0;47.0;80.0;;;;;;;;;;;
Mandela Lawrence-Burke;Kent St.;Sr.;LB;14;52.0;34.0;86.0;;;;;;;;;;;
Ferrod Gardner;Louisiana;Sr.;LB;11;30.0;37.0;67.0;;;;;;;;;;;
Macon Clark;Tulane;Jr.;S;12;55.0;18.0;73.0;;;;;;;;;;;
Devonni Reed;Central Mich.;Jr.;DB;12;44.0;29.0;73.0;;;;;;;;;;;
Dorian Williams;Tulane;So.;LB;12;44.0;29.0;73.0;;;;;;;;;;;
Shaq Bond;Utah St.;Sr.;S;13;54.0;25.0;79.0;;;;;;;;;;;
Luke Masterson;Wake Forest;Sr.;LB;14;57.0;28.0;85.0;;;;;;;;;;;
Elijah Hicks;California;Sr.;S;12;49.0;23.0;72.0;;;;;;;;;;;
Tre Jenkins;San Jose St.;Jr.;DB;12;49.0;23.0;72.0;;;;;;;;;;;
Joey Noble;New Mexico;Sr.;DL;12;42.0;30.0;72.0;;;;;;;;;;;
Jay Lenard;San Jose St.;Sr.;DB;12;36.0;36.0;72.0;;;;;;;;;;;
Troy Brown;Central Mich.;Sr.;LB;11;42.0;24.0;66.0;;;;;;;;;;;
Devon Matthews;Indiana;Sr.;DB;9;30.0;24.0;54.0;;;;;;;;;;;
Hunter Reynolds;Utah St.;Sr.;S;14;48.0;35.0;83.0;;;;;;;;;;;
Ryan Smenda, Jr.;Wake Forest;Jr.;LB;14;43.0;40.0;83.0;;;;;;;;;;;
Donavan Mutin;Houston;Jr.;LB;13;46.0;31.0;77.0;;;;;;;;;;;
Chris Ojoh;New Mexico St.;Jr.;LB;12;42.0;29.0;71.0;;;;;;;;;;;
Riley Whimpey;Boise St.;Sr.;LB;12;42.0;29.0;71.0;;;;;;;;;;;
M.J. Griffin;Temple;So.;S;11;42.0;23.0;65.0;;;;;;;;;;;
Durante Jones;UConn;Fr.;DB;10;34.0;25.0;59.0;;;;;;;;;;;
Muelu Iosefa;California;So.;LB;10;27.0;32.0;59.0;;;;;;;;;;;
Tyon Davis;Tulsa;Sr.;DB;13;61.0;15.0;76.0;;;;;;;;;;;
Tre Hawkins;Old Dominion;Jr.;CB;13;54.0;22.0;76.0;;;;;;;;;;;
Christian Izien;Rutgers;Jr.;DB;13;47.0;29.0;76.0;;;;;;;;;;;
Tyreke Davis;North Texas;Sr.;LB;13;44.0;32.0;76.0;;;;;;;;;;;
